session_alias,slot_alias,bet_tier,normalized_bet_b0,regular_spins,free_spins,normalized_chip_cost_b0,direct_ticket_field_present,direct_ticket_hit_count,direct_ticket_quantity,upgrade_linked_events,upgrade_linked_ticket_quantity,claim_type,evidence_source,evidence_level,endpoint,field_path,sample_count,limits
LOT-20260827-A,Slot-1,B1,1.0,2,0,2.0,False,,,0,0,Confirmed,Observed-live,L3,SlotsGameServer.Spin; AppClient.UpdateProgress; AppClient.AddDciEvent,bet; level; lottery.ticket_balance[],2,"SpinResponse has no direct ticket field; upgrade linkage is temporal/state reconciliation, not per-spin drop evidence"
LOT-20260827-A,Slot-2,B1,1.0,64,0,64.0,False,,,0,0,Confirmed,Observed-live,L3,SlotsGameServer.Spin; AppClient.UpdateProgress; AppClient.AddDciEvent,bet; level; lottery.ticket_balance[],64,"SpinResponse has no direct ticket field; upgrade linkage is temporal/state reconciliation, not per-spin drop evidence"
LOT-20260827-A,Slot-2,B2,3.333333,157,32,523.333333,False,,,0,0,Confirmed,Observed-live,L3,SlotsGameServer.Spin; AppClient.UpdateProgress; AppClient.AddDciEvent,bet; level; lottery.ticket_balance[],157,"SpinResponse has no direct ticket field; upgrade linkage is temporal/state reconciliation, not per-spin drop evidence"
LOT-20260827-A,Slot-3,B3,6.666667,157,0,1046.666667,False,,,1,2,Estimate,Observed-live + Manual,L3,SlotsGameServer.Spin; AppClient.UpdateProgress; AppClient.AddDciEvent,bet; level; lottery.ticket_balance[],157,"SpinResponse has no direct ticket field; upgrade linkage is temporal/state reconciliation, not per-spin drop evidence"
LOT-20260827-A,Slot-4,B4,33.333333,208,13,6933.333333,False,,,5,14,Estimate,Observed-live + Manual,L3,SlotsGameServer.Spin; AppClient.UpdateProgress; AppClient.AddDciEvent,bet; level; lottery.ticket_balance[],208,"SpinResponse has no direct ticket field; upgrade linkage is temporal/state reconciliation, not per-spin drop evidence"
