session_alias,ticket_color,rpc_calls,single_calls,bulk_calls,ticket_units,status_ok,single_chip_hit_calls,single_chip_hit_rate,wilson95_low,wilson95_high,single_chip_min_b0,single_chip_p50_b0,single_chip_mean_b0,single_chip_p90_b0,single_chip_max_b0,puzzle_reward_objects,ticket_reward_objects,ticket_reward_quantity,collectible_box_objects,time_boost_objects,charms_token_objects,free_ticket_grants,board_completions,board_completion_chips_b0,claim_type,evidence_source,evidence_level,endpoint,field_path,sample_count,limits
LOT-20260827-A,BRONZE,169,166,3,756,169,148,0.891566,0.835117,0.930302,0.533333,2.133333,3.603604,6.4,53.333333,9,14,58,2,1,0,108,4,10666.666667,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_*; lottery_reward.reward[]; state.*,169,single account/build; bulk calls are excluded from single-call hit-rate distribution
LOT-20260827-A,SILVER,60,60,0,60,60,59,0.983333,0.911449,0.997052,19.2,160.0,301.432768,362.666667,3200.0,0,0,0,1,0,0,8,0,0.0,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_*; lottery_reward.reward[]; state.*,60,single account/build; bulk calls are excluded from single-call hit-rate distribution
LOT-20260827-A,GOLD,79,79,0,79,79,74,0.936709,0.860251,0.972665,26.666667,333.333333,594.234234,1213.333333,3466.666667,3,0,0,1,1,0,12,1,853333.333333,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_*; lottery_reward.reward[]; state.*,79,single account/build; bulk calls are excluded from single-call hit-rate distribution
LOT-20260827-A,BLACK,38,38,0,38,38,34,0.894737,0.758695,0.958297,400.0,2000.0,2325.490196,4000.0,10000.0,1,1,2,0,0,2,5,0,0.0,Confirmed,Observed-live,L3,AppServer.LotteryToss,data.ticket_*; lottery_reward.reward[]; state.*,38,single account/build; bulk calls are excluded from single-call hit-rate distribution
