module_id,service_index,service,method_index,method,request_type,response_type,flow_role,request_live_count,response_live_count,total_live_count,live_directions,evidence_status,source_session
adventure,19,AdventureServer,0,AdventureGetActivePhase,Casino.AdventureActivePhaseRequest,Casino.AdventureActivePhaseResponse,client request -> server response/update,0,0,0,,schema-only,
adventure,19,AdventureServer,1,AdventureSetDifficulty,Casino.AdventureDifficultyRequest,Casino.AdventureActivePhaseResponse,client request -> server response/update,0,0,0,,schema-only,
adventure,19,AdventureServer,2,AdventureSkipMission,Casino.AdventureSkipMissionRequest,Casino.AdventureSkipMissionResponse,client request -> server response/update,0,0,0,,schema-only,
adventure,22,AdventureClient,0,AdventureUpdate,Casino.AdventureUpdateRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
adventure,22,AdventureClient,1,AdventureMissionUpdate,Casino.AdventureMissionUpdateRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
authentication,0,AppServer,2,Login,Casino.LoginRequest,Casino.LoginResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,16,ConnectFacebook,Casino.ConnectFacebookRequest,Casino.ConnectFacebookResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,66,RegisterDevice,Casino.RegisterDeviceRequest,Casino.RegisterDeviceResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,74,SetUserConsents,Casino.UserConsentsRequest,Casino.EmptyResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,82,SignInWithApple,Casino.SignInWithAppleRequest,Casino.SignInWithAppleResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,89,PersonalizedAdsPostponeConsent,Casino.PersonalizedAdsPostponeConsentRequest,Casino.EmptyResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,90,IdfaConsent,Casino.IdfaConsentRequest,Casino.IdfaConsentResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,118,LoginViaGame,Casino.LoginViaGameRequest,Casino.LoginViaGameResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,131,ConnectWithFirebase,Casino.ConnectWithFirebaseRequest,Casino.ConnectWithFirebaseResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,132,AuthenticationRefreshToken,Casino.AuthenticationRefreshTokenRequest,Casino.AuthenticationRefreshTokenResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,133,Logout,Casino.LogoutRequest,Casino.LogoutResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,0,AppServer,148,UpdateUserCentricsTag,Casino.UpdateUserCentricsTagRequest,Casino.EmptyResponse,client request -> server response/update,0,0,0,,schema-only,
authentication,1,AppClient,32,SignInWithAppleLinkInfo,Casino.SignInWithAppleLinkInfoRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
authentication,1,AppClient,61,AcceptedUserCentricsTag,Casino.AcceptedUserCentricsTagRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
authentication,1,AppClient,62,NotAcceptedUserCentricsTag,Casino.EmptyRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
authentication,1,AppClient,66,UpdateExternalAuthMapping,Casino.UpdateExternalAuthMappingRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
authentication,29,HuuugeLogin,0,GenerateDirectWebshopLoginLink,Casino.DirectWebshopLoginLinkRequest,Casino.DirectWebshopLoginLinkResponse,client request -> server response/update,0,0,0,,schema-only,
baccarat,8,BaccaratGameServer,0,AddBet,Casino.BaccaratProto.AddBetReq,Casino.BaccaratProto.ConfirmRes,client request -> server response/update,0,0,0,,schema-only,
baccarat,9,BaccaratGameClient,0,RoomUsers,Casino.BaccaratProto.UsersListReq,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
baccarat,9,BaccaratGameClient,1,StartPlacingBets,Casino.BaccaratProto.StartBettingReq,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
baccarat,9,BaccaratGameClient,2,UpdateBets,Casino.BaccaratProto.UpdateBetsReq,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
baccarat,9,BaccaratGameClient,3,Payout,Casino.BaccaratProto.PayoutReq,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
baccarat,9,BaccaratGameClient,4,SetConfiguration,Casino.BaccaratProto.Configuration,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
battle_pass,0,AppServer,139,BattlePassGetDailyMissions,Casino.EmptyRequest,Casino.BattlePassGetDailyMissionsResponse,client request -> server response/update,0,0,0,,schema-only,
battle_pass,0,AppServer,140,BattlePassGetWeeklyMissions,Casino.EmptyRequest,Casino.BattlePassGetWeeklyMissionsResponse,client request -> server response/update,0,0,0,,schema-only,
battle_pass,0,AppServer,141,BattlePassGetMilestones,Casino.EmptyRequest,Casino.BattlePassGetMilestonesResponse,client request -> server response/update,0,0,0,,schema-only,
battle_pass,0,AppServer,142,BattlePassTutorialCompleted,Casino.EmptyRequest,Casino.BattlePassTutorialCompletedResponse,client request -> server response/update,0,0,0,,schema-only,
battle_pass,0,AppServer,143,BattlePassSkipMission,Casino.BattlePassSkipMissionRequest,Casino.BattlePassSkipMissionResponse,client request -> server response/update,0,0,0,,schema-only,
battle_pass,1,AppClient,53,BattlePassUpdate,Casino.BattlePassUpdateRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
battle_pass,1,AppClient,54,BattlePassMissionProgressUpdate,Casino.BattlePassMissionProgressUpdateRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
battle_pass,1,AppClient,55,BattlePassLevelCompleted,Casino.BattlePassLevelCompletedRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
battle_pass,1,AppClient,56,BattlePassPremiumUpdate,Casino.BattlePassPremiumUpdateRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
blackjack,6,BlackjackGameServer,0,SetBet,Casino.BlackjackBetRequest,Casino.EmptyResponse,client request -> server response/update,0,0,0,,schema-only,
blackjack,7,BlackjackGameClient,0,StartPlacingBets,Casino.BlackjackStartBetsRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
blackjack,7,BlackjackGameClient,1,RoomUsers,Casino.BlackjackUsersList,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
blackjack,7,BlackjackGameClient,2,Progress,Casino.BlackjackActionRequest,Casino.BlackjackActionResponse,server update/request -> client response/ack,0,0,0,,schema-only,
blackjack,7,BlackjackGameClient,3,Payout,Casino.BlackjackPayoutRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
blackjack,7,BlackjackGameClient,4,Insurance,Casino.EmptyRequest,Casino.BlackjackInsuranceResponse,server update/request -> client response/ack,0,0,0,,schema-only,
