domain,service,method,rpc_type,direction,payload_type,count,decoded_count,undecoded_count,first_seen,last_seen,payload_bytes_total,payload_bytes_min,payload_bytes_max
other/unknown,AppServer,QueryPlayer,RESPONSE,in,Casino.QueryPlayerResponse,1,1,0,2026-08-25T18:24:41.764,2026-08-25T18:24:41.764,619,619,619
other/unknown,AppServer,ResetUserInactivity,REQUEST,out,Casino.ResetUserInactivityRequest,140,140,0,2026-08-25T18:24:10.151,2026-08-25T18:27:20.763,280,2,2
other/unknown,AppServer,SyncTime,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:27:49.862,2026-08-25T18:27:49.862,0,0,0
other/unknown,AppServer,SyncTime,RESPONSE,in,Casino.SyncTimeResponse,1,1,0,2026-08-25T18:27:50.129,2026-08-25T18:27:50.129,9,9,9
other/unknown,AppServer,TriggerAnnouncement,REQUEST,out,Casino.TriggerAnnouncementRequest,4,4,0,2026-08-25T18:25:53.897,2026-08-25T18:27:25.739,44,11,11
other/unknown,AppServer,TriggerAnnouncement,RESPONSE,in,Casino.TriggerAnnouncementResponse,4,4,0,2026-08-25T18:25:54.162,2026-08-25T18:27:25.999,8,2,2
passes/events,AppClient,VaultUpdate,REQUEST,in,Casino.VaultUpdateRequest,5,5,0,2026-08-25T18:24:46.001,2026-08-25T18:27:14.228,655,131,131
passes/events,MiniPassClient,MiniPassMilestoneCompleted,REQUEST,in,Casino.MiniPassMilestoneCompletedRequest,1,1,0,2026-08-25T18:25:08.662,2026-08-25T18:25:08.662,138,138,138
passes/events,MiniPassClient,MiniPassMissionCompleted,REQUEST,in,Casino.MiniPassMissionCompletedRequest,5,5,0,2026-08-25T18:24:49.095,2026-08-25T18:27:20.079,755,151,151
passes/events,MiniPassServer,MiniPassGetMissions,REQUEST,out,Casino.MiniPassGetMissionsRequest,1,1,0,2026-08-25T18:24:11.604,2026-08-25T18:24:11.604,11,11,11
passes/events,MiniPassServer,MiniPassGetMissions,RESPONSE,in,Casino.MiniPassGetMissionsResponse,1,1,0,2026-08-25T18:24:11.979,2026-08-25T18:24:11.979,106,106,106
passes/events,MiniPassServer,MiniPassTutorialCompleted,REQUEST,out,Casino.EmptyRequest,1,1,0,2026-08-25T18:24:18.648,2026-08-25T18:24:18.648,0,0,0
passes/events,MiniPassServer,MiniPassTutorialCompleted,RESPONSE,in,Casino.MiniPassTutorialCompletedResponse,1,1,0,2026-08-25T18:24:18.912,2026-08-25T18:24:18.912,2,2,2
slots,AppServer,GetJackpotValues,REQUEST,out,Casino.GetJackpotValuesRequest,30,30,0,2026-08-25T18:23:06.933,2026-08-25T18:29:28.882,12920,10,5815
slots,AppServer,GetJackpotValues,RESPONSE,in,Casino.GetJackpotValuesResponse,30,30,0,2026-08-25T18:23:07.197,2026-08-25T18:29:29.130,53455,38,24080
slots,AppServer,GetPlayerList,REQUEST,out,Casino.GetPlayerListRequest,48,48,0,2026-08-25T18:23:06.234,2026-08-25T18:29:29.431,192,4,4
slots,AppServer,GetPlayerList,RESPONSE,in,Casino.GetPlayerListResponse,48,48,0,2026-08-25T18:23:06.499,2026-08-25T18:29:29.701,3163,5,516
slots,AppServer,JoinGame,REQUEST,out,Casino.JoinGameRequest,2,2,0,2026-08-25T18:24:32.208,2026-08-25T18:26:31.755,105,47,58
slots,AppServer,JoinGame,RESPONSE,in,Casino.JoinGameResponse,2,2,0,2026-08-25T18:24:32.813,2026-08-25T18:26:32.046,8,4,4
slots,AppServer,LeaveGame,REQUEST,out,Casino.EmptyRequest,2,2,0,2026-08-25T18:25:43.397,2026-08-25T18:27:21.813,0,0,0
slots,AppServer,LeaveGame,RESPONSE,in,Casino.LeaveGameResponse,2,2,0,2026-08-25T18:25:43.661,2026-08-25T18:27:22.096,4,2,2
slots,AppServer,ListGames,REQUEST,out,Casino.ListGamesRequest,2,2,0,2026-08-25T18:25:44.231,2026-08-25T18:27:22.663,4,2,2
slots,AppServer,ListGames,RESPONSE,in,Casino.ListGamesResponse,2,2,0,2026-08-25T18:25:47.953,2026-08-25T18:27:23.691,1325837,662916,662921
slots,AppServer,QueryGame,REQUEST,out,Casino.QueryGameRequest,6,6,0,2026-08-25T18:24:31.913,2026-08-25T18:27:40.631,107,11,24
slots,AppServer,QueryGame,RESPONSE,in,Casino.QueryGameResponse,6,6,0,2026-08-25T18:24:32.180,2026-08-25T18:27:40.929,2527,377,457
slots,AppServer,QueryGamePlayer,REQUEST,out,Casino.QueryGamePlayerRequest,2,2,0,2026-08-25T18:24:33.856,2026-08-25T18:26:32.704,25,10,15
slots,AppServer,QueryGamePlayer,RESPONSE,in,Casino.QueryGamePlayerResponse,2,2,0,2026-08-25T18:24:34.343,2026-08-25T18:26:33.129,231,84,147
slots,SlotsGameClient,RoomUsers,REQUEST,in,Casino.SlotsProto.UserList,116,116,0,2026-08-25T18:24:32.779,2026-08-25T18:27:21.601,2817,22,72
slots,SlotsGameClient,UpdateJackpot,REQUEST,in,Casino.SlotsProto.JackpotList,26,26,0,2026-08-25T18:24:32.796,2026-08-25T18:27:19.078,572,22,22
slots,SlotsGameServer,Spin,REQUEST,out,Casino.SlotsProto.SpinRequest,29,29,0,2026-08-25T18:24:36.032,2026-08-25T18:27:13.835,261,9,9
slots,SlotsGameServer,Spin,RESPONSE,in,Casino.SlotsProto.SpinResponse,29,29,0,2026-08-25T18:24:36.312,2026-08-25T18:27:14.112,727,23,27
