domain,service,method,payload_type,field_path,value_type,messages_seen
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].free_offer.item[].source,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].free_offer.item[].type,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].free_offer.item[].value,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].id,integer,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.config_id,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.created_at,integer,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.item[].metadata[].key,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.item[].metadata[].value,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.item[].source,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.item[].type,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.item[].value,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.metadata[].key,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.metadata[].value,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.product_id,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.signature,string,1
offers/economy,AppClient,OfferTrailUpdate,Casino.OfferTrail.UpdateRequest,tile[].paid_offer.source,string,1
offers/economy,AppClient,UpdateGift,Casino.UpdateGiftRequest,free_gift_win_multiplier,number,1
offers/economy,AppClient,UpdateGift,Casino.UpdateGiftRequest,gift.expire,integer,1
offers/economy,AppClient,UpdateGift,Casino.UpdateGiftRequest,gift.gift_id,integer,1
offers/economy,AppClient,UpdateGift,Casino.UpdateGiftRequest,receiver[].replace_previous_gift,boolean,1
offers/economy,AppClient,UpdateGift,Casino.UpdateGiftRequest,receiver[].user_id,string,1
offers/economy,AppClient,UpdateGift,Casino.UpdateGiftRequest,sender_user_id,string,1
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,dci_config_info.identifier.config_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,dci_config_info.identifier.flags,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,dci_config_info.segment_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].bank_bonus_days,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].bank_bonus_type,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].custom_fields,object,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].custom_fields.custom_field_1,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].custom_fields.custom_field_3,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].product_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].big_value_for_money.value,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.big_chips_delta.value,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.charms_trade_token_delta,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.chips_delta,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box.box_id,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box.box_type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box.raffle_id,string,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box.source,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box.theme_id,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box.type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box_info.box_id,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box_info.box_type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box_info.event_type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box_info.highest_guaranteed_rarity,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box_info.highest_guaranteed_rarity_items_count,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.collectibles_box_info.items_count,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.diamonds_delta,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.extra_item_boost.time.duration,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.extra_item_boost.time.expire_time,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.extra_item_boost.time.value,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.extra_item_boost.type,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.id,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].reward.loyalty_points,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].share,number,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].reward_data[].value_for_money,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,product[].tag[],integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.dci_config_info.identifier.config_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.dci_config_info.identifier.flags,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.dci_config_info.segment_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.expire,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].product_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].d2c_percent,string,12
